"var_yr","var_scope","var_grade","var_key","var_schoolType","var_ethnic","population","var_type","metrics_new"
2021,"state_il","col","t3_cs_confer","allSchools","black_hispanic","84","count","state_il___2021___col___t3_cs_confer___allSchools___black_hispanic"
2021,"state_il","col","t3_cs_confer","allSchools","white_asian","637","count","state_il___2021___col___t3_cs_confer___allSchools___white_asian"
2021,"state_il","col","t3_cs_confer","allSchools","black","19","count","state_il___2021___col___t3_cs_confer___allSchools___black"
2021,"state_il","col","t3_cs_confer","allSchools","hispanic","65","count","state_il___2021___col___t3_cs_confer___allSchools___hispanic"
2021,"state_il","col","t3_cs_confer","allSchools","white","261","count","state_il___2021___col___t3_cs_confer___allSchools___white"
2021,"state_il","col","t3_cs_confer","allSchools","asian","376","count","state_il___2021___col___t3_cs_confer___allSchools___asian"
2021,"city_chi","hs","sat_math_exceeds","cps","all","1025","count","city_chi___2021___hs___sat_math_exceeds___cps___all"
2021,"city_chi","hs","sat_math_exceeds","cps","black_hispanic","261","count","city_chi___2021___hs___sat_math_exceeds___cps___black_hispanic"
2021,"city_chi","hs","sat_math_exceeds","cps","white_asian","764","count","city_chi___2021___hs___sat_math_exceeds___cps___white_asian"
2021,"city_chi","hs","sat_math_exceeds","cps","black","55","count","city_chi___2021___hs___sat_math_exceeds___cps___black"
2021,"city_chi","hs","sat_math_exceeds","cps","hispanic","206","count","city_chi___2021___hs___sat_math_exceeds___cps___hispanic"
2021,"city_chi","hs","sat_math_exceeds","cps","white","508","count","city_chi___2021___hs___sat_math_exceeds___cps___white"
2021,"city_chi","hs","sat_math_exceeds","cps","asian","256","count","city_chi___2021___hs___sat_math_exceeds___cps___asian"
2021,"usa","col","t3_cs_confer","allSchools","all","1031","count","usa___2021___col___t3_cs_confer___allSchools___all"
2021,"usa","col","t3_cs_confer","allSchools","black_hispanic","169","count","usa___2021___col___t3_cs_confer___allSchools___black_hispanic"
2021,"usa","col","t3_cs_confer","allSchools","white_asian","862","count","usa___2021___col___t3_cs_confer___allSchools___white_asian"
2021,"usa","col","t3_cs_confer","allSchools","black","41","count","usa___2021___col___t3_cs_confer___allSchools___black"
2021,"usa","col","t3_cs_confer","allSchools","hispanic","128","count","usa___2021___col___t3_cs_confer___allSchools___hispanic"
2021,"usa","col","t3_cs_confer","allSchools","white","486","count","usa___2021___col___t3_cs_confer___allSchools___white"
2021,"usa","col","t3_cs_confer","allSchools","asian","376","count","usa___2021___col___t3_cs_confer___allSchools___asian"
2021,"college","col","t3_mit_cs_enrol","allSchools","all","1257","count","college___2021___col___t3_mit_cs_enrol___allSchools___all"
2021,"college","col","t3_mit_cs_enrol","allSchools","black_hispanic","301","count","college___2021___col___t3_mit_cs_enrol___allSchools___black_hispanic"
2021,"college","col","t3_mit_cs_enrol","allSchools","white_asian","956","count","college___2021___col___t3_mit_cs_enrol___allSchools___white_asian"
2021,"college","col","t3_mit_cs_enrol","allSchools","black","75","count","college___2021___col___t3_mit_cs_enrol___allSchools___black"
2021,"college","col","t3_mit_cs_enrol","allSchools","hispanic","226","count","college___2021___col___t3_mit_cs_enrol___allSchools___hispanic"
2021,"college","col","t3_mit_cs_enrol","allSchools","white","390","count","college___2021___col___t3_mit_cs_enrol___allSchools___white"
2021,"college","col","t3_mit_cs_enrol","allSchools","asian","566","count","college___2021___col___t3_mit_cs_enrol___allSchools___asian"
2021,"city_chi","k8_4th","math_advc","cps","all","1429","count","city_chi___2021___k8_4th___math_advc___cps___all"
2021,"city_chi","k8_4th","math_advc","cps","black_hispanic","582","count","city_chi___2021___k8_4th___math_advc___cps___black_hispanic"
2021,"city_chi","k8_4th","math_advc","cps","white_asian","847","count","city_chi___2021___k8_4th___math_advc___cps___white_asian"
2021,"city_chi","k8_4th","math_advc","cps","black","166","count","city_chi___2021___k8_4th___math_advc___cps___black"
2021,"city_chi","k8_4th","math_advc","cps","hispanic","416","count","city_chi___2021___k8_4th___math_advc___cps___hispanic"
2021,"city_chi","k8_4th","math_advc","cps","white","500","count","city_chi___2021___k8_4th___math_advc___cps___white"
2021,"city_chi","k8_4th","math_advc","cps","asian","347","count","city_chi___2021___k8_4th___math_advc___cps___asian"
2021,"city_chi","k8_8th","math_advc","cps","all","1882","count","city_chi___2021___k8_8th___math_advc___cps___all"
2021,"city_chi","k8_8th","math_advc","cps","black_hispanic","938","count","city_chi___2021___k8_8th___math_advc___cps___black_hispanic"
2021,"city_chi","k8_8th","math_advc","cps","white_asian","944","count","city_chi___2021___k8_8th___math_advc___cps___white_asian"
2021,"city_chi","k8_8th","math_advc","cps","black","188","count","city_chi___2021___k8_8th___math_advc___cps___black"
